Transaction Date,Payment Ref,Payer Name,Open ID,Product Name,Insurance Company,Policy Number,Coverage Period,Currency,Charge Amount,Promotion Type,Status
2024-06-14 00:00:00,40200000000000,TEST Arjun,5222894,ProductName,Insurance Company,GC52392835772,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5222894,ProductName,Insurance Company,GC52192322349,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5287958,ProductName,Insurance Company,GC52199674997,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5287958,ProductName,Insurance Company,GC52962212454,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5239678,ProductName,Insurance Company,GC52326921459,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5239678,ProductName,Insurance Company,GC52471198445,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5227977,ProductName,Insurance Company,GC52965998752,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5227977,ProductName,Insurance Company,GC52748339169,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5271787,ProductName,Insurance Company,GC52941581331,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5271787,ProductName,Insurance Company,GC52664836463,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,a4d5f965-0df7-43f7-9ae1-23afcacf40cf-1649907777,ProductName,Insurance Company,GC52359989954,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5251213,ProductName,Insurance Company,GC52177866334,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5251213,ProductName,Insurance Company,GC52868725726,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5266995,ProductName,Insurance Company,GC52445591439,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5292466,ProductName,Insurance Company,GC52822742847,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5291147,ProductName,Insurance Company,GC52869172613,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5291147,ProductName,Insurance Company,GC52477766522,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5242451,ProductName,Insurance Company,GC52856599894,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5242451,ProductName,Insurance Company,GC52685298161,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5226795,ProductName,Insurance Company,GC52552499874,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5226795,ProductName,Insurance Company,GC52332879231,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,a4d5f965-0df7-43f7-9ae1-23afcacf40cf-1649907777,ProductName,Insurance Company,GC52597768682,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5288125,ProductName,Insurance Company,GC52297211791,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5288125,ProductName,Insurance Company,GC52687398887,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5247437,ProductName,Insurance Company,GC52864861874,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5247437,ProductName,Insurance Company,GC52685521568,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5218899,ProductName,Insurance Company,GC52221344856,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5254925,ProductName,Insurance Company,GC52293494622,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5227317,ProductName,Insurance Company,GC52215548423,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5227317,ProductName,Insurance Company,GC52117364695,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5279334,ProductName,Insurance Company,GC52669794158,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5279334,ProductName,Insurance Company,GC52999666947,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5271744,ProductName,Insurance Company,GC52368616768,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5271744,ProductName,Insurance Company,GC52112826621,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5211259,ProductName,Insurance Company,GC52353626288,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5211259,ProductName,Insurance Company,GC52814312336,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5225171,ProductName,Insurance Company,GC52237971765,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5225171,ProductName,Insurance Company,GC52199936399,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5233388,ProductName,Insurance Company,GC52932473943,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5233388,ProductName,Insurance Company,GC52384178819,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5254925,ProductName,Insurance Company,GC52432515419,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5218899,ProductName,Insurance Company,GC52685365638,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5256492,ProductName,Insurance Company,GC52116536317,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5256492,ProductName,Insurance Company,GC52945864892,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5228259,ProductName,Insurance Company,GC52597665444,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5228259,ProductName,Insurance Company,GC52859734118,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5276547,ProductName,Insurance Company,GC52571876277,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5276547,ProductName,Insurance Company,GC52826172832,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5218943,ProductName,Insurance Company,GC52729568988,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5218943,ProductName,Insurance Company,GC52364215148,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5276469,ProductName,Insurance Company,GC52412878835,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5276469,ProductName,Insurance Company,GC52154873561,14/06/2024 to 09/06/2025,SGD,0.50,none,PAID
2024-06-14 00:00:00,40200000000000,TEST Arjun,5266995,ProductName,Insurance Company,GC52912881876,14/06/2024 to 14/06/2025,SGD,133.50,none,PAID
2024-06-15 00:00:00,40200000000000,TEST Arjun,a4d5f965-0df7-43f7-9ae1-23afcacf40cf-1649907777,ProductName,Insurance Company,GC52344759469,15/06/2024 to 10/06/2025,SGD,0.50,none,PAID
