Transaction Date, Payment Ref, Payer Name, Open ID, Product Name, Insurance Company, Policy Number, Coverage Period, Currency, Charge Amount, Promotion Type, Status
2025-01-12 00:00:00, 40200000000000, TEST Arjun, 5267571, ProductName, Insurance Company, GC523959978828, 12/01/2025 to 11/01/2026, SGD, 0.10, none, PAID
2025-01-12 00:00:00, 40200000000000, TEST Arjun, 5217652, ProductName, Insurance Company, GC522386364677, 12/01/2025 to 11/01/2026, SGD, 0.10, none, PAID
2025-01-12 00:00:00, 40200000000000, TEST Arjun, a4d5f965-0df7-43f7-9ae1-23afcacf40cf-1649907777, ProductName, Insurance Company, GC52858974398, 12/01/2025 to 07/01/2026, SGD, 0.50, none, PAID
2025-01-12 00:00:00, 40200000000000, TEST Arjun, 5239792, ProductName, Insurance Company, GC522835681344, 12/01/2025 to 11/01/2026, SGD, 0.10, none, PAID
2025-01-12 00:00:00, 40200000000000, TEST Arjun, a4d5f965-0df7-43f7-9ae1-23afcacf40cf-1649907777, ProductName, Insurance Company, GC52861151892, 12/01/2025 to 07/01/2026, SGD, 0.50, Free Policy, PAID
2025-01-12 00:00:00, 40200000000000, TEST Arjun, 521234, ProductName, Insurance Company, GC52527665714, 12/01/2025 to 12/01/2026, SGD, 0.30, Free Policy, PAID
2025-01-12 00:00:00, 40200000000000, TEST Arjun, 521234, ProductName, Insurance Company, GC52888213121, 12/01/2025 to 12/01/2026, SGD, 0.10, Free Policy, PAID
2025-01-12 00:00:00, 40200000000000, TEST Arjun, 5296537, ProductName, Insurance Company, GC52778793355, 12/01/2025 to 07/01/2026, SGD, 0.10, none, PAID
2025-01-12 00:00:00, 40200000000000, TEST Arjun, 521234, ProductName, Insurance Company, GC52231817726, 12/01/2025 to 12/01/2026, SGD, 0.10, none, PAID
2025-01-12 00:00:00, 40200000000000, TEST Arjun, 521234, ProductName, Insurance Company, GC52789237434, 12/01/2025 to 12/01/2026, SGD, 0.30, none, PAID
